item	map	area
Needleberry	Flooded Forest (Low Rank)	2
Royal Rhino	Flooded Forest (Low Rank)	2
Killer Beetle	Flooded Forest (Low Rank)	2
Flashbug	Flooded Forest (Low Rank)	2
Bitterbug	Flooded Forest (Low Rank)	2
Insect Husk	Flooded Forest (Low Rank)	2
Thunderbug	Flooded Forest (Low Rank)	2
Godbug	Flooded Forest (Low Rank)	2
Sap Plant	Flooded Forest (Low Rank)	3
Ivy	Flooded Forest (Low Rank)	3
Airweed	Flooded Forest (Low Rank)	3
Antidote Herb	Flooded Forest (Low Rank)	3
Nulberry	Flooded Forest (Low Rank)	3
Iron Ore	Flooded Forest (Low Rank)	3
Whetstone	Flooded Forest (Low Rank)	3
Machalite Ore	Flooded Forest (Low Rank)	3
Pelagicite Ore	Flooded Forest (Low Rank)	3
Stone	Flooded Forest (Low Rank)	3
Aquaglow Jewel	Flooded Forest (Low Rank)	3
Earth Crystal	Flooded Forest (Low Rank)	3
Toadstool	Flooded Forest (Low Rank)	4
Nitroshroom	Flooded Forest (Low Rank)	4
Unique Mushroom	Flooded Forest (Low Rank)	4
Sap Plant	Flooded Forest (Low Rank)	4
Herb	Flooded Forest (Low Rank)	4
Airweed	Flooded Forest (Low Rank)	4
Paintberry	Flooded Forest (Low Rank)	4
Flashbug	Flooded Forest (Low Rank)	4
Nulberry	Flooded Forest (Low Rank)	4
Bughopper	Flooded Forest (Low Rank)	4
Stinkhopper	Flooded Forest (Low Rank)	4
Mega Fishing Fly	Flooded Forest (Low Rank)	4
Royal Rhino	Flooded Forest (Low Rank)	4
Killer Beetle	Flooded Forest (Low Rank)	4
Godbug	Flooded Forest (Low Rank)	4
Bomb Arowana	Flooded Forest (Low Rank)	4
Scatterfish	Flooded Forest (Low Rank)	4
Sushifish	Flooded Forest (Low Rank)	4
Burst Arowana	Flooded Forest (Low Rank)	4
Goldenfish	Flooded Forest (Low Rank)	4
Small Goldenfish	Flooded Forest (Low Rank)	4
Sap Plant	Flooded Forest (Low Rank)	5
Herb	Flooded Forest (Low Rank)	5
Airweed	Flooded Forest (Low Rank)	5
Paintberry	Flooded Forest (Low Rank)	5
Nulberry	Flooded Forest (Low Rank)	5
Pelagicite Ore	Flooded Forest (Low Rank)	5
Aquaglow Jewel	Flooded Forest (Low Rank)	5
Iron Ore	Flooded Forest (Low Rank)	5
Armor Sphere	Flooded Forest (Low Rank)	5
Stone	Flooded Forest (Low Rank)	5
Machalite Ore	Flooded Forest (Low Rank)	5
Pelagicite Ore	Flooded Forest (Low Rank)	6
Iron Ore	Flooded Forest (Low Rank)	6
Earth Crystal	Flooded Forest (Low Rank)	6
Aquaglow Jewel	Flooded Forest (Low Rank)	6
Mystery Charm	Flooded Forest (Low Rank)	6
Whetstone	Flooded Forest (Low Rank)	6
Machalite Ore	Flooded Forest (Low Rank)	6
Stone	Flooded Forest (Low Rank)	6
Paintberry	Flooded Forest (Low Rank)	7
Nulberry	Flooded Forest (Low Rank)	7
Needleberry	Flooded Forest (Low Rank)	7
Scatternut	Flooded Forest (Low Rank)	7
Might Seed	Flooded Forest (Low Rank)	7
Bomberry	Flooded Forest (Low Rank)	7
Adamant Seed	Flooded Forest (Low Rank)	7
Royal Rhino	Flooded Forest (Low Rank)	7
Killer Beetle	Flooded Forest (Low Rank)	7
Flashbug	Flooded Forest (Low Rank)	7
Bitterbug	Flooded Forest (Low Rank)	7
Insect Husk	Flooded Forest (Low Rank)	7
Thunderbug	Flooded Forest (Low Rank)	7
Godbug	Flooded Forest (Low Rank)	7
Sap Plant	Flooded Forest (Low Rank)	8
Herb	Flooded Forest (Low Rank)	8
Airweed	Flooded Forest (Low Rank)	8
Paintberry	Flooded Forest (Low Rank)	8
Blue Mushroom	Flooded Forest (Low Rank)	8
Toadstool	Flooded Forest (Low Rank)	8
Unique Mushroom	Flooded Forest (Low Rank)	8
Parashroom	Flooded Forest (Low Rank)	8
Iron Ore	Flooded Forest (Low Rank)	8
Earth Crystal	Flooded Forest (Low Rank)	8
Machalite Ore	Flooded Forest (Low Rank)	8
Stone	Flooded Forest (Low Rank)	8
Armor Sphere	Flooded Forest (Low Rank)	8
Whetstone	Flooded Forest (Low Rank)	8
Mystery Charm	Flooded Forest (Low Rank)	8
Aquaglow Jewel	Flooded Forest (Low Rank)	8
Fire Herb	Flooded Forest (Low Rank)	9
Worm	Flooded Forest (Low Rank)	9
Insect Husk	Flooded Forest (Low Rank)	9
Iron Ore	Flooded Forest (Low Rank)	10
Earth Crystal	Flooded Forest (Low Rank)	10
Machalite Ore	Flooded Forest (Low Rank)	10
Stone	Flooded Forest (Low Rank)	10
Armor Sphere	Flooded Forest (Low Rank)	10
Whetstone	Flooded Forest (Low Rank)	10
Royal Rhino	Flooded Forest (Low Rank)	10
Flashbug	Flooded Forest (Low Rank)	10
Stinkhopper	Flooded Forest (Low Rank)	10
Insect Husk	Flooded Forest (Low Rank)	10
Killer Beetle	Flooded Forest (Low Rank)	10
Thunderbug	Flooded Forest (Low Rank)	10
Popfish	Flooded Forest (High Rank)	0
Burst Arowana	Flooded Forest (High Rank)	0
Whetfish	Flooded Forest (High Rank)	0
Sushifish	Flooded Forest (High Rank)	0
Small Goldenfish	Flooded Forest (High Rank)	0
Bomb Arowana	Flooded Forest (High Rank)	0
Antidote Herb	Flooded Forest (High Rank)	1
Sap Plant	Flooded Forest (High Rank)	1
Sleep Herb	Flooded Forest (High Rank)	1
Herb	Flooded Forest (High Rank)	1
Spider Web	Flooded Forest (High Rank)	1
Needleberry	Flooded Forest (High Rank)	1
Huskberry	Flooded Forest (High Rank)	1
Adamant Seed	Flooded Forest (High Rank)	1
Unique Mushroom	Flooded Forest (High Rank)	1
Blue Mushroom	Flooded Forest (High Rank)	1
Parashroom	Flooded Forest (High Rank)	1
Choice Mushroom	Flooded Forest (High Rank)	1
Pelagicite Ore	Flooded Forest (High Rank)	1
Iron Ore	Flooded Forest (High Rank)	1
Earth Crystal	Flooded Forest (High Rank)	1
Aquaglow Jewel	Flooded Forest (High Rank)	1
Mystery Charm	Flooded Forest (High Rank)	1
Worm	Flooded Forest (High Rank)	2
Frog	Flooded Forest (High Rank)	2
Stone	Flooded Forest (High Rank)	2
Parashroom	Flooded Forest (High Rank)	2
Unique Mushroom	Flooded Forest (High Rank)	2
Exciteshroom	Flooded Forest (High Rank)	2
Scatternut	Flooded Forest (High Rank)	2
Might Seed	Flooded Forest (High Rank)	2
Nulberry	Flooded Forest (High Rank)	2
Adamant Seed	Flooded Forest (High Rank)	2
Needleberry	Flooded Forest (High Rank)	2
Flashbug	Flooded Forest (High Rank)	2
Royal Rhino	Flooded Forest (High Rank)	2
Killer Beetle	Flooded Forest (High Rank)	2
Hercudrome	Flooded Forest (High Rank)	2
Bitterbug	Flooded Forest (High Rank)	2
Bughopper	Flooded Forest (High Rank)	2
Divine Rhino	Flooded Forest (High Rank)	2
Godbug	Flooded Forest (High Rank)	2
Sap Plant	Flooded Forest (High Rank)	3
Ivy	Flooded Forest (High Rank)	3
Airweed	Flooded Forest (High Rank)	3
Antidote Herb	Flooded Forest (High Rank)	3
Herb	Flooded Forest (High Rank)	3
Nulberry	Flooded Forest (High Rank)	3
Machalite Ore	Flooded Forest (High Rank)	3
Bloodrun Jewel	Flooded Forest (High Rank)	3
Bathycite Ore	Flooded Forest (High Rank)	3
Carbalite Ore	Flooded Forest (High Rank)	3
Armor Sphere+	Flooded Forest (High Rank)	3
Sunspire Jewel	Flooded Forest (High Rank)	3
Shining Charm	Flooded Forest (High Rank)	3
Earth Crystal	Flooded Forest (High Rank)	3
Toadstool	Flooded Forest (High Rank)	4
Nitroshroom	Flooded Forest (High Rank)	4
Unique Mushroom	Flooded Forest (High Rank)	4
Sap Plant	Flooded Forest (High Rank)	4
Herb	Flooded Forest (High Rank)	4
Airweed	Flooded Forest (High Rank)	4
Paintberry	Flooded Forest (High Rank)	4
Nulberry	Flooded Forest (High Rank)	4
Royal Rhino	Flooded Forest (High Rank)	4
Flashbug	Flooded Forest (High Rank)	4
Bitterbug	Flooded Forest (High Rank)	4
King Scarab	Flooded Forest (High Rank)	4
Hercudrome	Flooded Forest (High Rank)	4
Godbug	Flooded Forest (High Rank)	4
Insect Husk	Flooded Forest (High Rank)	4
Killer Beetle	Flooded Forest (High Rank)	4
Bughopper	Flooded Forest (High Rank)	4
Divine Rhino	Flooded Forest (High Rank)	4
Scatterfish	Flooded Forest (High Rank)	4
Bomb Arowana	Flooded Forest (High Rank)	4
Small Goldenfish	Flooded Forest (High Rank)	4
Sushifish	Flooded Forest (High Rank)	4
Goldenfish	Flooded Forest (High Rank)	4
Silverfish	Flooded Forest (High Rank)	4
Burst Arowana	Flooded Forest (High Rank)	4
Sap Plant	Flooded Forest (High Rank)	5
Herb	Flooded Forest (High Rank)	5
Airweed	Flooded Forest (High Rank)	5
Paintberry	Flooded Forest (High Rank)	5
Nulberry	Flooded Forest (High Rank)	5
Bathycite Ore	Flooded Forest (High Rank)	5
Earth Crystal	Flooded Forest (High Rank)	5
Pelagicite Ore	Flooded Forest (High Rank)	5
Adv Armor Sphere	Flooded Forest (High Rank)	5
Aquaglow Jewel	Flooded Forest (High Rank)	5
Iron Ore	Flooded Forest (High Rank)	5
Bathycite Ore	Flooded Forest (High Rank)	6
Earth Crystal	Flooded Forest (High Rank)	6
Pelagicite Ore	Flooded Forest (High Rank)	6
Adv Armor Sphere	Flooded Forest (High Rank)	6
Aquaglow Jewel	Flooded Forest (High Rank)	6
Iron Ore	Flooded Forest (High Rank)	6
Machalite Ore	Flooded Forest (High Rank)	6
Bloodrun Jewel	Flooded Forest (High Rank)	6
Carbalite Ore	Flooded Forest (High Rank)	6
Armor Sphere+	Flooded Forest (High Rank)	6
Sunspire Jewel	Flooded Forest (High Rank)	6
Shining Charm	Flooded Forest (High Rank)	6
Mystery Charm	Flooded Forest (High Rank)	6
Lightcrystal	Flooded Forest (High Rank)	6
Hercudrome	Flooded Forest (High Rank)	6
Thunderbug	Flooded Forest (High Rank)	6
King Scarab	Flooded Forest (High Rank)	6
Killer Beetle	Flooded Forest (High Rank)	6
Godbug	Flooded Forest (High Rank)	6
Royal Rhino	Flooded Forest (High Rank)	6
Paintberry	Flooded Forest (High Rank)	7
Nulberry	Flooded Forest (High Rank)	7
Needleberry	Flooded Forest (High Rank)	7
Scatternut	Flooded Forest (High Rank)	7
Might Seed	Flooded Forest (High Rank)	7
Bomberry	Flooded Forest (High Rank)	7
Adamant Seed	Flooded Forest (High Rank)	7
Flashbug	Flooded Forest (High Rank)	7
Royal Rhino	Flooded Forest (High Rank)	7
Killer Beetle	Flooded Forest (High Rank)	7
Hercudrome	Flooded Forest (High Rank)	7
Bitterbug	Flooded Forest (High Rank)	7
Bughopper	Flooded Forest (High Rank)	7
Divine Rhino	Flooded Forest (High Rank)	7
Godbug	Flooded Forest (High Rank)	7
Sap Plant	Flooded Forest (High Rank)	8
Herb	Flooded Forest (High Rank)	8
Airweed	Flooded Forest (High Rank)	8
Paintberry	Flooded Forest (High Rank)	8
Blue Mushroom	Flooded Forest (High Rank)	8
Toadstool	Flooded Forest (High Rank)	8
Unique Mushroom	Flooded Forest (High Rank)	8
Parashroom	Flooded Forest (High Rank)	8
Earth Crystal	Flooded Forest (High Rank)	8
Carbalite Ore	Flooded Forest (High Rank)	8
Machalite Ore	Flooded Forest (High Rank)	8
Bloodrun Jewel	Flooded Forest (High Rank)	8
Sunspire Jewel	Flooded Forest (High Rank)	8
Iron Ore	Flooded Forest (High Rank)	8
Whetstone	Flooded Forest (High Rank)	8
Armor Sphere	Flooded Forest (High Rank)	8
Adv Armor Sphere	Flooded Forest (High Rank)	8
Aquaglow Jewel	Flooded Forest (High Rank)	8
Mystery Charm	Flooded Forest (High Rank)	8
Fire Herb	Flooded Forest (High Rank)	9
Worm	Flooded Forest (High Rank)	9
Insect Husk	Flooded Forest (High Rank)	9
Earth Crystal	Flooded Forest (High Rank)	10
Carbalite Ore	Flooded Forest (High Rank)	10
Machalite Ore	Flooded Forest (High Rank)	10
Bloodrun Jewel	Flooded Forest (High Rank)	10
Sunspire Jewel	Flooded Forest (High Rank)	10
Iron Ore	Flooded Forest (High Rank)	10
Flashbug	Flooded Forest (High Rank)	10
Hercudrome	Flooded Forest (High Rank)	10
Royal Rhino	Flooded Forest (High Rank)	10
Stinkhopper	Flooded Forest (High Rank)	10
Bughopper	Flooded Forest (High Rank)	10
Divine Rhino	Flooded Forest (High Rank)	10
Killer Beetle	Flooded Forest (High Rank)	10
Burst Arowana	Flooded Forest (G Rank)	0
Popfish	Flooded Forest (G Rank)	0
Whetfish	Flooded Forest (G Rank)	0
Sushifish	Flooded Forest (G Rank)	0
Small Goldenfish	Flooded Forest (G Rank)	0
Bomb Arowana	Flooded Forest (G Rank)	0
Antidote Herb	Flooded Forest (G Rank)	1
Sap Plant	Flooded Forest (G Rank)	1
Sleep Herb	Flooded Forest (G Rank)	1
Herb	Flooded Forest (G Rank)	1
Spider Web	Flooded Forest (G Rank)	1
Adamant Seed	Flooded Forest (G Rank)	1
Unique Mushroom	Flooded Forest (G Rank)	1
Blue Mushroom	Flooded Forest (G Rank)	1
Parashroom	Flooded Forest (G Rank)	1
Choice Mushroom	Flooded Forest (G Rank)	1
Pelagicite Ore	Flooded Forest (G Rank)	1
Iron Ore	Flooded Forest (G Rank)	1
Earth Crystal	Flooded Forest (G Rank)	1
Aquaglow Jewel	Flooded Forest (G Rank)	1
Mystery Charm	Flooded Forest (G Rank)	1
Worm	Flooded Forest (G Rank)	2
Frog	Flooded Forest (G Rank)	2
Stone	Flooded Forest (G Rank)	2
Parashroom	Flooded Forest (G Rank)	2
Unique Mushroom	Flooded Forest (G Rank)	2
Exciteshroom	Flooded Forest (G Rank)	2
Scatternut	Flooded Forest (G Rank)	2
Might Seed	Flooded Forest (G Rank)	2
Bomberry	Flooded Forest (G Rank)	2
Nulberry	Flooded Forest (G Rank)	2
Adamant Seed	Flooded Forest (G Rank)	2
Huskberry	Flooded Forest (G Rank)	2
Killer Beetle	Flooded Forest (G Rank)	2
Godbug	Flooded Forest (G Rank)	2
Emperor Hopper	Flooded Forest (G Rank)	2
King Scarab	Flooded Forest (G Rank)	2
Hercudrome	Flooded Forest (G Rank)	2
Thunderbug	Flooded Forest (G Rank)	2
Divine Rhino	Flooded Forest (G Rank)	2
Flutterfly	Flooded Forest (G Rank)	2
Sap Plant	Flooded Forest (G Rank)	3
Ivy	Flooded Forest (G Rank)	3
Airweed	Flooded Forest (G Rank)	3
Antidote Herb	Flooded Forest (G Rank)	3
Herb	Flooded Forest (G Rank)	3
Nulberry	Flooded Forest (G Rank)	3
Iron Ore	Flooded Forest (G Rank)	3
Bloodrun Jewel	Flooded Forest (G Rank)	3
Bathycite Ore	Flooded Forest (G Rank)	3
Carbalite Ore	Flooded Forest (G Rank)	3
Dragonite Ore	Flooded Forest (G Rank)	3
Adv Armor Sphere	Flooded Forest (G Rank)	3
Adamant Orb	Flooded Forest (G Rank)	3
Hvy Armor Sphere	Flooded Forest (G Rank)	3
Machalite Ore	Flooded Forest (G Rank)	3
Earth Crystal	Flooded Forest (G Rank)	3
Lazurite Jewel	Flooded Forest (G Rank)	3
Toadstool	Flooded Forest (G Rank)	4
Nitroshroom	Flooded Forest (G Rank)	4
Unique Mushroom	Flooded Forest (G Rank)	4
Sap Plant	Flooded Forest (G Rank)	4
Herb	Flooded Forest (G Rank)	4
Airweed	Flooded Forest (G Rank)	4
Paintberry	Flooded Forest (G Rank)	4
Nulberry	Flooded Forest (G Rank)	4
Killer Beetle	Flooded Forest (G Rank)	4
Divine Rhino	Flooded Forest (G Rank)	4
Rare Scarab	Flooded Forest (G Rank)	4
Thunderbug	Flooded Forest (G Rank)	4
Hercudrome	Flooded Forest (G Rank)	4
Godbug	Flooded Forest (G Rank)	4
Insect Husk	Flooded Forest (G Rank)	4
Emperor Hopper	Flooded Forest (G Rank)	4
King Scarab	Flooded Forest (G Rank)	4
Flutterfly	Flooded Forest (G Rank)	4
Scatterfish	Flooded Forest (G Rank)	4
Bomb Arowana	Flooded Forest (G Rank)	4
Small Goldenfish	Flooded Forest (G Rank)	4
Sushifish	Flooded Forest (G Rank)	4
Goldenfish	Flooded Forest (G Rank)	4
Silverfish	Flooded Forest (G Rank)	4
Burst Arowana	Flooded Forest (G Rank)	4
Sap Plant	Flooded Forest (G Rank)	5
Herb	Flooded Forest (G Rank)	5
Airweed	Flooded Forest (G Rank)	5
Paintberry	Flooded Forest (G Rank)	5
Nulberry	Flooded Forest (G Rank)	5
Bathycite Ore	Flooded Forest (G Rank)	5
Earth Crystal	Flooded Forest (G Rank)	5
Adamant Orb	Flooded Forest (G Rank)	5
Sunspire Jewel	Flooded Forest (G Rank)	5
Timeworn Charm	Flooded Forest (G Rank)	5
Pelagicite Ore	Flooded Forest (G Rank)	5
Shining Charm	Flooded Forest (G Rank)	5
Iron Ore	Flooded Forest (G Rank)	5
Bathycite Ore	Flooded Forest (G Rank)	6
Earth Crystal	Flooded Forest (G Rank)	6
Adamant Orb	Flooded Forest (G Rank)	6
Sunspire Jewel	Flooded Forest (G Rank)	6
Timeworn Charm	Flooded Forest (G Rank)	6
Pelagicite Ore	Flooded Forest (G Rank)	6
Shining Charm	Flooded Forest (G Rank)	6
Iron Ore	Flooded Forest (G Rank)	6
Bloodrun Jewel	Flooded Forest (G Rank)	6
Carbalite Ore	Flooded Forest (G Rank)	6
Hvy Armor Sphere	Flooded Forest (G Rank)	6
Machalite Ore	Flooded Forest (G Rank)	6
Lazurite Jewel	Flooded Forest (G Rank)	6
Dragonite Ore	Flooded Forest (G Rank)	6
Adv Armor Sphere	Flooded Forest (G Rank)	6
Enduring Charm	Flooded Forest (G Rank)	6
Purecrystal	Flooded Forest (G Rank)	6
Hrd Armor Sphere	Flooded Forest (G Rank)	6
Thunderbug	Flooded Forest (G Rank)	6
Flutterfly	Flooded Forest (G Rank)	6
Emperor Hopper	Flooded Forest (G Rank)	6
Killer Beetle	Flooded Forest (G Rank)	6
Mega Fishing Fly	Flooded Forest (G Rank)	6
Godbug	Flooded Forest (G Rank)	6
Paintberry	Flooded Forest (G Rank)	7
Nulberry	Flooded Forest (G Rank)	7
Needleberry	Flooded Forest (G Rank)	7
Scatternut	Flooded Forest (G Rank)	7
Might Seed	Flooded Forest (G Rank)	7
Bomberry	Flooded Forest (G Rank)	7
Adamant Seed	Flooded Forest (G Rank)	7
Killer Beetle	Flooded Forest (G Rank)	7
Godbug	Flooded Forest (G Rank)	7
Emperor Hopper	Flooded Forest (G Rank)	7
King Scarab	Flooded Forest (G Rank)	7
Hercudrome	Flooded Forest (G Rank)	7
Thunderbug	Flooded Forest (G Rank)	7
Divine Rhino	Flooded Forest (G Rank)	7
Flutterfly	Flooded Forest (G Rank)	7
Sap Plant	Flooded Forest (G Rank)	8
Herb	Flooded Forest (G Rank)	8
Airweed	Flooded Forest (G Rank)	8
Paintberry	Flooded Forest (G Rank)	8
Blue Mushroom	Flooded Forest (G Rank)	8
Toadstool	Flooded Forest (G Rank)	8
Unique Mushroom	Flooded Forest (G Rank)	8
Parashroom	Flooded Forest (G Rank)	8
Adv Armor Sphere	Flooded Forest (G Rank)	8
Earth Crystal	Flooded Forest (G Rank)	8
Hvy Armor Sphere	Flooded Forest (G Rank)	8
Bloodrun Jewel	Flooded Forest (G Rank)	8
Carbalite Ore	Flooded Forest (G Rank)	8
Adamant Orb	Flooded Forest (G Rank)	8
Iron Ore	Flooded Forest (G Rank)	8
Purecrystal	Flooded Forest (G Rank)	8
Dragonite Ore	Flooded Forest (G Rank)	8
Whetstone	Flooded Forest (G Rank)	8
Eltalite Ore	Flooded Forest (G Rank)	8
Sunspire Jewel	Flooded Forest (G Rank)	8
Armor Sphere	Flooded Forest (G Rank)	8
Mystery Charm	Flooded Forest (G Rank)	8
Aquaglow Jewel	Flooded Forest (G Rank)	8
Fire Herb	Flooded Forest (G Rank)	9
Worm	Flooded Forest (G Rank)	9
Insect Husk	Flooded Forest (G Rank)	9
Adv Armor Sphere	Flooded Forest (G Rank)	10
Earth Crystal	Flooded Forest (G Rank)	10
Hvy Armor Sphere	Flooded Forest (G Rank)	10
Bloodrun Jewel	Flooded Forest (G Rank)	10
Carbalite Ore	Flooded Forest (G Rank)	10
Adamant Orb	Flooded Forest (G Rank)	10
Iron Ore	Flooded Forest (G Rank)	10
Purecrystal	Flooded Forest (G Rank)	10
Flashbug	Flooded Forest (G Rank)	10
Emperor Hopper	Flooded Forest (G Rank)	10
Hercudrome	Flooded Forest (G Rank)	10
King Scarab	Flooded Forest (G Rank)	10
Divine Rhino	Flooded Forest (G Rank)	10
Flutterfly	Flooded Forest (G Rank)	10
Rare Scarab	Flooded Forest (G Rank)	10
Sleepyfish	Tundra (Low Rank)	0
Pin Tuna	Tundra (Low Rank)	0
Whetfish	Tundra (Low Rank)	0
Burst Arowana	Tundra (Low Rank)	0
Small Goldenfish	Tundra (Low Rank)	0
Speartuna	Tundra (Low Rank)	0
Honey	Tundra (Low Rank)	1
Snakebee Larva	Tundra (Low Rank)	1
Insect Husk	Tundra (Low Rank)	1
Might Seed	Tundra (Low Rank)	1
Bomberry	Tundra (Low Rank)	1
Paintberry	Tundra (Low Rank)	1
Nulberry	Tundra (Low Rank)	1
Ice Crystal	Tundra (Low Rank)	1
Adamant Seed	Tundra (Low Rank)	1
Bitterbug	Tundra (Low Rank)	1
Godbug	Tundra (Low Rank)	1
Carpenterbug	Tundra (Low Rank)	1
Flashbug	Tundra (Low Rank)	1
Thunderbug	Tundra (Low Rank)	1
Killer Beetle	Tundra (Low Rank)	1
Royal Rhino	Tundra (Low Rank)	1
Insect Husk	Tundra (Low Rank)	3
Flashbug	Tundra (Low Rank)	3
Bitterbug	Tundra (Low Rank)	3
Thunderbug	Tundra (Low Rank)	3
Killer Beetle	Tundra (Low Rank)	3
Godbug	Tundra (Low Rank)	3
Royal Rhino	Tundra (Low Rank)	3
Mystery Bone	Tundra (Low Rank)	4
Bone	Tundra (Low Rank)	4
Unknown Skull	Tundra (Low Rank)	4
Monster Bone S	Tundra (Low Rank)	4
Monster Bone M	Tundra (Low Rank)	4
Golden Bone	Tundra (Low Rank)	4
Earth Crystal	Tundra (Low Rank)	4
Ice Crystal	Tundra (Low Rank)	4
Bloodstone	Tundra (Low Rank)	4
Isisium	Tundra (Low Rank)	4
Armor Sphere+	Tundra (Low Rank)	4
Stone	Tundra (Low Rank)	4
Sunspire Jewel	Tundra (Low Rank)	4
Machalite Ore	Tundra (Low Rank)	4
Lightcrystal	Tundra (Low Rank)	4
Auristone Piece	Tundra (Low Rank)	4
Bone Husk S	Tundra (Low Rank)	5
Mystery Bone	Tundra (Low Rank)	5
Golden Bone	Tundra (Low Rank)	5
Monster Bone S	Tundra (Low Rank)	5
Bone	Tundra (Low Rank)	5
Bone Husk L	Tundra (Low Rank)	5
Unknown Skull	Tundra (Low Rank)	5
Bloodstone	Tundra (Low Rank)	5
Earth Crystal	Tundra (Low Rank)	5
Isisium	Tundra (Low Rank)	5
Stone	Tundra (Low Rank)	5
Sunspire Jewel	Tundra (Low Rank)	5
Lightcrystal	Tundra (Low Rank)	5
Machalite Ore	Tundra (Low Rank)	5
Mystery Charm	Tundra (Low Rank)	5
Auristone Piece	Tundra (Low Rank)	5
Armor Sphere	Tundra (Low Rank)	5
Armor Sphere+	Tundra (Low Rank)	5
Iron Ore	Tundra (Low Rank)	5
Rustshard	Tundra (Low Rank)	5
Bomberry	Tundra (Low Rank)	6
Nulberry	Tundra (Low Rank)	6
Huskberry	Tundra (Low Rank)	6
Earth Crystal	Tundra (Low Rank)	6
Iron Ore	Tundra (Low Rank)	6
Whetstone	Tundra (Low Rank)	6
Ice Crystal	Tundra (Low Rank)	6
Sunspire Jewel	Tundra (Low Rank)	6
Lightcrystal	Tundra (Low Rank)	6
Paintberry	Tundra (Low Rank)	7
Adamant Seed	Tundra (Low Rank)	7
Sleep Herb	Tundra (Low Rank)	7
Nulberry	Tundra (Low Rank)	7
Bone Husk S	Tundra (Low Rank)	7
Bone	Tundra (Low Rank)	7
Mystery Bone	Tundra (Low Rank)	7
Unknown Skull	Tundra (Low Rank)	7
Earth Crystal	Tundra (Low Rank)	7
Bloodstone	Tundra (Low Rank)	7
Sunspire Jewel	Tundra (Low Rank)	7
Lightcrystal	Tundra (Low Rank)	7
Iron Ore	Tundra (Low Rank)	7
Armor Sphere	Tundra (Low Rank)	7
Armor Sphere+	Tundra (Low Rank)	7
Mystery Charm	Tundra (Low Rank)	7
Stone	Tundra (Low Rank)	7
Rustshard	Tundra (Low Rank)	7
Sleepyfish	Tundra (High Rank)	0
Pin Tuna	Tundra (High Rank)	0
Whetfish	Tundra (High Rank)	0
Burst Arowana	Tundra (High Rank)	0
Small Goldenfish	Tundra (High Rank)	0
Speartuna	Tundra (High Rank)	0
Honey	Tundra (High Rank)	1
Snakebee Larva	Tundra (High Rank)	1
Insect Husk	Tundra (High Rank)	1
Might Seed	Tundra (High Rank)	1
Bomberry	Tundra (High Rank)	1
Paintberry	Tundra (High Rank)	1
Nulberry	Tundra (High Rank)	1
Ice Crystal	Tundra (High Rank)	1
Adamant Seed	Tundra (High Rank)	1
Bitterbug	Tundra (High Rank)	1
Flashbug	Tundra (High Rank)	1
Thunderbug	Tundra (High Rank)	1
Hercudrome	Tundra (High Rank)	1
Killer Beetle	Tundra (High Rank)	1
Royal Rhino	Tundra (High Rank)	1
Godbug	Tundra (High Rank)	1
Rare Scarab	Tundra (High Rank)	1
Divine Rhino	Tundra (High Rank)	1
King Scarab	Tundra (High Rank)	1
Bitterbug	Tundra (High Rank)	3
Flashbug	Tundra (High Rank)	3
Thunderbug	Tundra (High Rank)	3
Hercudrome	Tundra (High Rank)	3
Killer Beetle	Tundra (High Rank)	3
Royal Rhino	Tundra (High Rank)	3
Insect Husk	Tundra (High Rank)	3
Godbug	Tundra (High Rank)	3
King Scarab	Tundra (High Rank)	3
Divine Rhino	Tundra (High Rank)	3
Bone	Tundra (High Rank)	4
Monster Bone S	Tundra (High Rank)	4
Bone Husk S	Tundra (High Rank)	4
Bone Husk L	Tundra (High Rank)	4
Unknown Skull	Tundra (High Rank)	4
Dragonbone Relic	Tundra (High Rank)	4
Earth Crystal	Tundra (High Rank)	4
Ice Crystal	Tundra (High Rank)	4
Bloodstone	Tundra (High Rank)	4
Whetstone	Tundra (High Rank)	4
Gracium	Tundra (High Rank)	4
Deep Bloodstone	Tundra (High Rank)	4
Fucium Ore	Tundra (High Rank)	4
Lightcrystal	Tundra (High Rank)	4
Carbalite Ore	Tundra (High Rank)	4
Mystery Charm	Tundra (High Rank)	4
Sunspire Jewel	Tundra (High Rank)	4
Auristone Piece	Tundra (High Rank)	4
Shining Charm	Tundra (High Rank)	4
Auristone Chunk	Tundra (High Rank)	4
Bone Husk S	Tundra (High Rank)	5
Bone Husk L	Tundra (High Rank)	5
Mystery Bone	Tundra (High Rank)	5
Golden Bone	Tundra (High Rank)	5
Monster Bone S	Tundra (High Rank)	5
Bone	Tundra (High Rank)	5
Unknown Skull	Tundra (High Rank)	5
Isisium	Tundra (High Rank)	5
Bloodstone	Tundra (High Rank)	5
Gracium	Tundra (High Rank)	5
Adv Armor Sphere	Tundra (High Rank)	5
Lightcrystal	Tundra (High Rank)	5
Stone	Tundra (High Rank)	5
Earth Crystal	Tundra (High Rank)	5
Sunspire Jewel	Tundra (High Rank)	5
Carbalite Ore	Tundra (High Rank)	5
Mystery Charm	Tundra (High Rank)	5
Auristone Piece	Tundra (High Rank)	5
Shining Charm	Tundra (High Rank)	5
Auristone Chunk	Tundra (High Rank)	5
Iron Ore	Tundra (High Rank)	5
Armor Sphere	Tundra (High Rank)	5
